City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,mossoro,-5.1875,-37.3442,306.12,52,75,7.2,BR,1738433924
312,sisimiut,66.9395,-53.6735,256.4,97,100,4.92,GL,1738433925
313,baruun-urt,46.6806,113.2792,250.88,89,8,2.83,MN,1738433927
314,port augusta,-32.5,137.7667,297.62,38,14,4.0,AU,1738433928
315,fort mcmurray,56.7268,-111.381,250.88,77,100,6.69,CA,1738433602
316,ulsteinvik,62.3432,5.8487,275.65,74,98,2.79,NO,1738433930
317,kozina,45.61,13.9356,279.06,61,90,2.59,SI,1738433931
318,gitarama,-2.0744,29.7567,290.51,75,97,1.27,RW,1738433933
319,ciudad bolivar,8.1222,-63.5497,309.3,27,29,4.96,VE,1738433934
320,maua,-23.6678,-46.4614,299.31,80,99,3.2,BR,1738433935
321,uturoa,-16.7333,-151.4333,300.87,77,30,5.9,PF,1738433937
322,walvis bay,-22.9575,14.5053,292.43,77,27,8.88,NA,1738433938
323,salta,-24.7859,-65.4117,305.14,52,40,3.13,AR,1738433940
324,medicine hat,50.0501,-110.6683,263.55,84,100,8.23,CA,1738433914
325,launceston,-41.45,147.1667,287.95,88,20,2.06,AU,1738433943
326,warrnambool,-38.3833,142.4833,291.9,73,0,3.62,AU,1738433944
327,nora,59.5193,15.0398,270.29,91,4,1.81,SE,1738433945
328,acarau,-2.8856,-40.12,302.69,63,100,6.4,BR,1738433946
329,saldanha,-33.0117,17.9442,292.31,86,19,7.45,ZA,1738433948
330,kichmengskiy gorodok,59.9816,45.7854,273.83,100,100,2.38,RU,1738433949
331,gurun,5.8172,100.4738,292.38,81,97,1.53,MY,1738433950
332,greymouth,-42.4667,171.2,284.22,94,61,1.82,NZ,1738433951
333,st. john's,47.5649,-52.7093,267.75,75,75,4.12,CA,1738433883
334,vorgashor,67.5833,63.95,253.72,93,99,2.81,RU,1738433954
335,priargunsk,50.3691,119.1012,238.23,100,87,0.26,RU,1738433956
336,tofol,5.3248,163.0078,300.55,78,91,9.48,FM,1738433957
337,teghra,25.4833,85.95,289.39,48,0,2.02,IN,1738433959
338,dompu,-8.5356,118.4622,296.8,95,100,0.79,ID,1738433960
339,ikryanoye,46.0932,47.7308,271.14,78,12,3.9,RU,1738433961
340,amga,60.8953,131.9608,237.28,100,100,0.29,RU,1738433870
341,mata-utu,-13.2816,-176.1745,301.31,78,87,6.57,WF,1738433964
342,trincomalee,8.5711,81.2335,299.77,79,21,4.95,LK,1738433965
343,buala,-8.145,159.5921,300.35,78,100,4.3,SB,1738433966
344,houlton,46.1262,-67.8403,263.55,47,0,6.17,US,1738433968
345,turabah,21.2141,41.6331,292.86,34,2,3.03,SA,1738433969
346,maintirano,-18.0667,44.0167,301.28,81,82,2.49,MG,1738433970
347,tarko-sale,64.9225,77.785,251.94,97,100,5.03,RU,1738433973
348,itanhem,-17.1664,-40.33,305.95,44,100,3.17,BR,1738433974
349,dalnegorsk,44.5604,135.5701,256.53,87,13,2.24,RU,1738433975
